epoca,erros,acuracia,coeficientes,intercepto
1,6,0.5,"[-0.2, 0.09999999999999992, -0.25]",[0.0]
2,6,0.5,"[-0.4, 0.2499999999999999, -0.4]",[0.0]
3,6,0.5,"[-0.6, 0.3999999999999999, -0.55]",[0.0]
4,6,0.5,"[-0.8999999999999999, 0.04999999999999982, -0.85]",[0.0]
5,6,0.5,"[-1.0999999999999999, 0.09999999999999976, -0.65]",[0.0]
6,6,0.5,"[-1.2, 0.44999999999999973, -0.3500000000000001]",[0.0]
7,6,0.5,"[-1.4000000000000001, 0.24999999999999967, -0.5000000000000002]",[0.0]
8,6,0.5,"[-1.5000000000000002, 0.09999999999999964, -0.30000000000000027]",[0.0]
9,5,0.5833333333333334,"[-1.6000000000000003, 0.4499999999999995, -0.25000000000000033]",[0.0]
10,6,0.5,"[-1.8000000000000005, 0.24999999999999944, -0.40000000000000036]",[0.0]
11,5,0.5833333333333334,"[-1.9000000000000006, 0.5999999999999994, -0.3500000000000004]",[0.0]
12,6,0.5,"[-2.1000000000000005, 0.24999999999999933, -0.5000000000000004]",[0.0]
13,6,0.5,"[-2.2000000000000006, 0.24999999999999933, -0.20000000000000048]",[0.0]
14,3,0.75,"[-2.3000000000000007, 0.5999999999999992, -0.15000000000000055]",[0.0]
15,6,0.5,"[-2.500000000000001, 0.39999999999999913, -0.3000000000000006]",[0.0]
16,6,0.5,"[-2.600000000000001, 0.4499999999999992, -0.20000000000000065]",[0.0]
17,4,0.6666666666666666,"[-2.700000000000001, 0.6999999999999992, -0.20000000000000068]",[0.0]
18,5,0.5833333333333334,"[-2.800000000000001, 0.6499999999999992, -0.2500000000000007]",[0.0]
19,6,0.5,"[-2.9000000000000012, 0.49999999999999944, -0.20000000000000076]",[0.0]
20,6,0.5,"[-3.0000000000000013, 0.5499999999999995, -0.10000000000000078]",[0.0]
21,6,0.5,"[-3.1000000000000014, 0.3999999999999996, -0.050000000000000794]",[0.0]
22,6,0.5,"[-3.2000000000000015, 0.4499999999999996, 0.04999999999999913]",[0.0]
23,1,0.9166666666666666,"[-3.2000000000000015, 0.6999999999999997, 0.19999999999999912]",[0.0]
24,6,0.5,"[-3.3000000000000016, 0.44999999999999973, 0.19999999999999915]",[0.0]
25,6,0.5,"[-3.4000000000000017, 0.3999999999999997, 0.2499999999999992]",[0.0]
26,0,1.0,"[-3.4000000000000017, 0.7499999999999997, 0.39999999999999925]",[0.0]
